rank,movement,points,name,country,country_code,abbreviation
262,1,218,"Vincent Ruggeri, Samuel",Italy,ITA,VIN
263,-7,218,"Maestrelli, Francesco",Italy,ITA,MAE
264,1,216,"Mejia, Nicolas",Colombia,COL,MEJ
265,-7,215,"Nadal, Rafael",Spain,ESP,NAD
266,6,215,"Gaubas, Vilius",Lithuania,LTU,GAU
267,-7,213,"Gerasimov, Egor",Neutral,LTU,GER
268,-7,213,"Blancaneaux, Geoffrey",France,FRA,BLA
269,-7,212,"Lajal, Mark",Estonia,EST,LAJ
270,-6,212,"Oliveira, Goncalo",Venezuela,VEN,OLI
271,-5,211,"Peniston, Ryan",Great Britain,GBR,PEN
272,1,211,"Habib, Hady",Lebanon,LBN,HAB
273,-6,210,"Sandgren, Tennys",USA,USA,SAN
274,-5,207,"Molcan, Alex",Slovakia,SVK,MOL
275,-5,207,"Wu, Tung-Lin",Chinese Taipei,TPE,TUN
276,5,207,"Moeller, Elmer",Denmark,DNK,MOE
277,-6,206,"Fearnley, Jacob",Great Britain,GBR,FEA
278,5,206,"Vrbensky, Michael",Czechia,CZE,VRB
279,-5,204,"Chidekh, Clement",France,FRA,CHI
280,-5,204,"Berankis, Ricardas",Lithuania,LTU,BER
281,-3,201,"Sachko, Vitaliy",Ukraine,UKR,SAC
282,-14,200,"Bueno, Gonzalo",Peru,PER,BUE
283,-4,198,"Trotter, James Kent",Japan,JPN,TRO
284,1,193,"Coppejans, Kimmer",Belgium,BEL,COP
285,1,193,"Kwiatkowski, Thai-Son",USA,USA,KWI
286,-9,193,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD
287,7,193,"Fonio, Giovanni",Italy,ITA,FON
288,13,192,"Bai, Yan (1989)",China,CHN,BAI
289,-2,192,"Vallejo, Daniel",Paraguay,PRY,VAL
290,-10,192,"Lamasine, Tristan",France,FRA,LAM
291,0,190,"Holmgren, August",Denmark,DNK,HOL
292,1,190,"Collarini, Andrea",Argentina,ARG,COL
293,2,189,"Sousa, Joao",Portugal,PRT,SOU
294,-6,189,"Mayo, Aidan",USA,USA,MAY
295,1,188,"Kym, Jerome",Switzerland,CHE,KYM
296,4,188,"Masur, Daniel",Germany,DEU,MAS
297,-5,187,"Moeller, Marvin",Germany,DEU,MOE
298,4,187,"Sanchez Izquierdo, Nikolas",Spain,ESP,SAI
299,-2,185,"Weis, Alexander",Italy,ITA,WEI
300,4,184,"Mager, Gianluca",Italy,ITA,MAG
301,-3,183,"Blockx, Alexander",Belgium,BEL,BLO
302,-12,183,"Bertola, Remy",Switzerland,CHE,BER
303,-4,183,"Bertrand, Robin",France,FRA,BER
304,-1,180,"Landaluce, Martin",Spain,ESP,LAN
305,0,176,"Bourgue, Mathias",France,FRA,BOU
306,1,176,"Taberner, Carlos",Spain,ESP,TAB
307,31,175,"Kopp, Sandro",Austria,AUT,KOP
308,-2,175,"Gill, Felix",Great Britain,GBR,GIL
309,21,173,"Sultanov, Khumoyun",Uzbekistan,UZB,SUL
310,49,172,"Hussey, Giles",Great Britain,GBR,HUS
311,-2,169,"Kuhn, Nicola",Germany,DEU,KUHN
312,3,167,"Buse, Ignacio",Peru,PER,BUS
313,-2,166,"Geerts, Michael",Belgium,BEL,GEE
314,-1,165,"Isner, John",USA,USA,ISN
315,-1,165,"Jorda Sanchis, David",Spain,ESP,JOR
316,0,164,"Andrade, Andres",Ecuador,ECU,AND
317,0,164,"Dodig, Matej",Croatia,HRV,DOD
318,1,164,"Fanselow, Sebastian",Germany,DEU,FAN
319,-11,163,"Kodat, Toby Alex",USA,USA,KOD
320,1,163,"Noguchi, Rio",Japan,JPN,NOG
321,1,162,"Clarke, Jay",Great Britain,GBR,CLA
322,1,161,"Bellier, Antoine",Switzerland,CHE,BEL
323,2,160,"Kuzmanov, Dimitar",Bulgaria,BGR,KUZ
324,7,159,"Elias, Gastao",Portugal,PRT,ELI
325,-5,159,"Bicknell, Blaise",Jamaica,JAM,BIC
326,0,159,"Casanova, Hernan",Argentina,ARG,CAS
327,0,159,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI
328,0,159,"Sakamoto, Pedro",Brazil,BRA,SAK
329,-5,158,"Olivo, Renzo",Argentina,ARG,OLI
330,-1,157,"Ramanathan, Ramkumar",India,IND,RAM
331,3,157,"Bonadio, Riccardo",Italy,ITA,BON
332,17,157,"Gakhov, Ivan",Neutral,ITA,GAK
