Rank,Movement,Points,Country,Country Code,Abbreviation,Competitor Last Name,Competitor First Initial
173,2,349,Portugal,PRT,FAR,"Faria,",J
174,0,344,Great Britain,GBR,CHO,"Choinski,",J
175,3,341,Switzerland,CHE,RIT,"Ritschard,",A
176,3,341,Australia,AUS,SCH,"Schoolkate,",T
177,3,340,USA,USA,DAMM,Damm,J
178,3,337,Germany,DEU,SQU,"Squire,",H
179,-7,337,"Hong Kong, China",HKG,WON,"Wong,",C
180,2,333,Austria,AUT,MIS,"Misolic,",F
181,2,333,Hungary,HUN,PIR,"Piros,",Z
182,3,332,Argentina,ARG,SWM,"Schwartzman,",D
183,3,332,France,FRA,GRE,"Grenier,",H
184,4,331,Republic of Korea,KOR,HON,"Hong,",S
185,2,328,Brazil,BRA,HEI,"Heide,",G
186,-10,327,USA,USA,CRE,"Cressy,",M
187,-10,322,Portugal,PRT,ROC,"Rocha,",H
188,1,321,Spain,ESP,MOR,Moro,C
189,1,318,Netherlands,NLD,BRO,"Brouwer,",G
190,4,317,USA,USA,KRU,"Krueger,",M
191,0,316,Belgium,BEL,DE,de,L
192,0,315,Poland,POL,MAJ,"Majchrzak,",K
193,-9,315,Poland,POL,KAS,"Kasnikowski,",M
194,-1,314,Spain,ESP,ZAP,Zapata,M
195,0,308,France,FRA,COU,"Couacaud,",E
196,0,306,Chile,CHL,BAR,Barrios,V
197,0,306,China,CHN,YUN,"Yunchaokete,",B
198,0,305,Dominican Republic,DOM,HAR,"Hardt,",N
199,0,303,Croatia,HRV,PRI,"Prizmic,",D
200,0,301,France,FRA,HEM,"Hemery,",C
201,88,301,Great Britain,GBR,JUB,"Jubb,",P
202,-1,301,Germany,DEU,MOL,"Molleker,",R
203,0,297,Japan,JPN,UCH,"Uchiyama,",Y
204,1,294,France,FRA,ROY,"Royer,",V
205,1,293,Sweden,SWE,YME,"Ymer,",E
206,1,291,Italy,ITA,VAV,"Vavassori,",A
207,2,288,Austria,AUT,NOV,"Novak,",D
208,2,288,USA,USA,BOY,"Boyer,",T
209,2,288,Australia,AUS,POL,"Polmans,",M
210,-8,286,Australia,AUS,TUL,"Tu,",L
211,1,285,France,FRA,ESC,"Escoffier,",A
212,1,284,France,FRA,POU,"Pouille,",L
213,-5,284,Kazakhstan,KAZ,ZHU,"Zhukayev,",B
214,0,282,Bolivia,BOL,DEV,"Dellien,",M
215,1,280,Italy,ITA,AGA,"Agamenone,",F
216,-1,277,Brazil,BRA,FON,"Fonseca,",J
217,0,276,Great Britain,GBR,CRA,"Crawford,",O
218,3,274,Spain,ESP,RIN,"Rincon,",D
219,3,273,Argentina,ARG,FIC,"Ficovich,",J
220,3,272,France,FRA,HAL,"Halys,",Q
221,-3,271,Australia,AUS,JAS,"Jasika,",O
222,2,271,Kazakhstan,KAZ,POP,"Popko,",D
223,-3,270,Jordan,JOR,SHE,"Shelbayh,",A
224,60,269,Argentina,ARG,GOM,"Gomez,",F
225,0,269,France,FRA,JAN,"Janvier,",M
226,0,267,Chinese Taipei,TPE,HSU,"Hsu,",Y
227,0,267,Ukraine,UKR,MAR,"Marchenko,",I
228,0,266,Bulgaria,BGR,AND,"Andreev,",A
229,-25,264,Switzerland,CHE,HUE,"Huesler,",M
230,-1,257,Kazakhstan,KAZ,SKA,"Skatov,",T
231,-1,257,France,FRA,MAR,"Marie,",J
232,-1,256,Tunisia,TUN,DOU,"Dougaz,",A
233,0,253,Japan,JPN,SHI,"Shimizu,",Y
234,0,252,Australia,AUS,BOL,"Bolt,",A
235,0,252,France,FRA,GUI,"Guinard,",M
236,0,252,France,FRA,TAB,"Tabur,",C
237,0,250,Czechia,CZE,VES,"Vesely,",J
238,0,250,Australia,AUS,SWE,"Sweeny,",D
