Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,Player_1_Last_Name,Player_1_First_Initial,Player_2_Last_Name,Player_2_First_Initial,Outcome,Player_1_Set_1,Player_2_Set_1,Player_1_Set_2,Player_2_Set_2,Player_1_Set_3,Player_2_Set_3,Player_1_Sets_Won,Player_2_Sets_Won
Rio Open,2023-02-25,ATP500,Outdoor,Clay,Semifinals,3,Alcaraz C.,2,139,6480,416,1.2,4.5,6-7 7-5 6-0,Alcaraz,C,Jarry,N,Win,6.0,7.0,7.0,5.0,6.0,0.0,2,1
Rio Open,2023-02-26,ATP500,Outdoor,Clay,The Final,3,Norrie C.,2,13,6480,2615,1.22,4.33,7-5 4-6 5-7,Alcaraz,C,Norrie,C,Loss,7.0,5.0,4.0,6.0,5.0,7.0,1,2
Miami Open,2023-04-01,Masters 1000,Outdoor,Hard,Semifinals,3,Sinner J.,11,1,2925,7420,3.0,1.4,6-7 6-4 6-2,Sinner,J,Alcaraz,C,Win,6.0,7.0,6.0,4.0,6.0,2.0,2,1
Mutua Madrid Open,2023-04-28,Masters 1000,Outdoor,Clay,2nd Round,3,Alcaraz C.,2,41,6770,977,1.04,13.0,2-6 6-4 6-2,Alcaraz,C,Ruusuvuori,E,Win,2.0,6.0,6.0,4.0,6.0,2.0,2,1
Mutua Madrid Open,2023-05-07,Masters 1000,Outdoor,Clay,The Final,3,Alcaraz C.,2,65,6770,779,1.06,10.0,6-4 3-6 6-3,Alcaraz,C,Struff,J,Win,6.0,4.0,3.0,6.0,6.0,3.0,2,1
Queen's Club Championships,2023-06-20,ATP500,Outdoor,Grass,1st Round,3,Alcaraz C.,83,2,681,7175,7.0,1.1,6-4 5-7 6-7,Rinderknech,A,Alcaraz,C,Loss,6.0,4.0,5.0,7.0,6.0,7.0,1,2
Canadian Open,2023-08-11,Masters 1000,Outdoor,Hard,3rd Round,3,Alcaraz C.,17,1,2195,9225,5.0,1.17,6-3 6-7 6-7,Hurkacz,H,Alcaraz,C,Loss,6.0,3.0,6.0,7.0,6.0,7.0,1,2
Canadian Open,2023-08-12,Masters 1000,Outdoor,Hard,Quarterfinals,3,Paul T.,1,14,9225,2345,1.17,5.0,3-6 6-4 3-6,Alcaraz,C,Paul,T,Loss,3.0,6.0,6.0,4.0,3.0,6.0,1,2
Western & Southern Financial Group Masters,2023-08-16,Masters 1000,Outdoor,Hard,2nd Round,3,Alcaraz C.,1,55,9395,897,1.08,8.0,7-5 4-6 6-3,Alcaraz,C,Thompson,J,Win,7.0,5.0,4.0,6.0,6.0,3.0,2,1
Western & Southern Financial Group Masters,2023-08-17,Masters 1000,Outdoor,Hard,3rd Round,3,Alcaraz C.,1,13,9395,2525,1.29,3.75,7-6 6-7 6-3,Alcaraz,C,Paul,T,Win,7.0,6.0,6.0,7.0,6.0,3.0,2,1
Western & Southern Financial Group Masters,2023-08-18,Masters 1000,Outdoor,Hard,Quarterfinals,3,Alcaraz C.,1,70,9395,816,1.08,8.0,4-6 6-3 6-4,Alcaraz,C,Purcell,M,Win,4.0,6.0,6.0,3.0,6.0,4.0,2,1
Western & Southern Financial Group Masters,2023-08-19,Masters 1000,Outdoor,Hard,Semifinals,3,Alcaraz C.,20,1,1685,9395,3.5,1.3,6-2 6-7 3-6,Hurkacz,H,Alcaraz,C,Loss,6.0,2.0,6.0,7.0,3.0,6.0,1,2
Western & Southern Financial Group Masters,2023-08-20,Masters 1000,Outdoor,Hard,The Final,3,Djokovic N.,1,2,9395,8795,2.3,1.62,7-5 6-7 6-7,Alcaraz,C,Djokovic,N,Loss,7.0,5.0,6.0,7.0,6.0,7.0,1,2
Shanghai Masters,2023-10-11,Masters 1000,Outdoor,Hard,4th Round,3,Dimitrov G.,2,19,8715,1880,1.17,5.0,7-5 2-6 4-6,Alcaraz,C,Dimitrov,G,Loss,7.0,5.0,2.0,6.0,4.0,6.0,1,2
Masters Cup,2023-11-13,Masters Cup,Indoor,Hard,Round Robin,3,Zverev A.,8,2,3585,8455,2.75,1.44,6-7 6-3 6-4,Zverev,A,Alcaraz,C,Win,6.0,7.0,6.0,3.0,6.0,4.0,2,1
